         346243831 function calls (346237329 primitive calls) in 381.752 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    25402   48.660    0.002   48.660    0.002 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
  9583824   35.126    0.000   89.913    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\worksheet\_reader.py:177(parse_cell)
  9583824   28.024    0.000  115.275    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\io\excel\_openpyxl.py:508(_convert_cell)
  9583824   19.561    0.000   21.270    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\utils\cell.py:193(coordinate_to_tuple)
 20538960   16.690    0.000   22.475    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\xml\etree\ElementTree.py:1287(read_events)
  1250085   14.588    0.000  204.140    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\worksheet\_reader.py:113(parse)
  1250064   14.352    0.000   25.389    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\worksheet\_read_only.py:101(_get_row)
  9693203   10.400    0.000   10.400    0.000 {built-in method builtins.hasattr}
  5833702    9.559    0.000   36.337    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\styles\numbers.py:104(is_date_format)
  1250043    9.473    0.000   12.069    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\utils\datetime.py:103(from_excel)
  5833534    9.057    0.000   14.891    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\cell\read_only.py:64(number_format)
  7083577    8.901    0.000    8.901    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\worksheet\_reader.py:78(_cast_number)
  9583824    7.970    0.000   59.196    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\cell\cell.py:246(is_date)
  9583824    7.776    0.000   11.037    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\cell\read_only.py:14(__init__)
 28751886    7.652    0.000    7.652    0.000 {method 'get' of 'xml.etree.ElementTree.Element' objects}
  9583824    7.585    0.000   66.781    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\cell\read_only.py:99(is_date)
  1250064    6.704    0.000  104.861    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\worksheet\_reader.py:265(parse_row)
  5833702    6.550    0.000    6.550    0.000 {method 'sub' of 're.Pattern' objects}
20513603/20513539    5.859    0.000   82.027    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\xml\etree\ElementTree.py:1219(iterator)
  5833790    5.807    0.000    8.176    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\re.py:273(_compile)
  1250064    5.681    0.000   95.594    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\worksheet\_reader.py:286(<listcomp>)
 27403398    5.652    0.000    5.652    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\cell\read_only.py:108(value)
       21    5.604    0.267  362.150   17.245 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\io\excel\_openpyxl.py:531(get_sheet_data)
  5833874    5.500    0.000    5.500    0.000 {method 'search' of 're.Pattern' objects}
26885461/26885450    5.490    0.000    5.508    0.000 {built-in method builtins.isinstance}
  1250064    5.047    0.000  120.322    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\io\excel\_openpyxl.py:549(<listcomp>)
  9583824    4.895    0.000    4.895    0.000 {method 'findtext' of 'xml.etree.ElementTree.Element' objects}
  5833702    4.661    0.000   18.318    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\re.py:182(search)
9586845/9586825    4.448    0.000   14.840    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
       98    4.269    0.044    4.269    0.044 {pandas._libs.writers.write_csv_rows}
  1250085    3.661    0.000  233.196    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\worksheet\_read_only.py:58(_cells_by_row)
  5833534    3.538    0.000    3.538    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\cell\read_only.py:54(style_array)
  9583824    3.261    0.000    3.261    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\cell\read_only.py:112(value)
  1297924    3.099    0.000    3.099    0.000 {method 'clear' of 'xml.etree.ElementTree.Element' objects}
       98    2.997    0.031    3.004    0.031 {pandas._libs.tslib.format_array_from_datetime}
      196    2.881    0.015    2.881    0.015 {method 'astype' of 'numpy.ndarray' objects}
 20513514    2.759    0.000    2.759    0.000 {method 'popleft' of 'collections.deque' objects}
    25356    1.999    0.000    1.999    0.000 {method 'decompress' of 'zlib.Decompress' objects}
  5834128    1.911    0.000    1.911    0.000 {method 'split' of 'str' objects}
  9584039    1.710    0.000    1.710    0.000 {method 'upper' of 'str' objects}
  1250064    1.592    0.000    2.563    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\worksheet\_reader.py:281(<setcomp>)
  5833874    1.586    0.000    1.586    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\styles\cell_style.py:26(__get__)
  1250043    1.395    0.000    1.395    0.000 {built-in method builtins.round}
  1304149    1.211    0.000    1.211    0.000 {built-in method builtins.divmod}
    15305    1.122    0.000    1.122    0.000 {method 'read' of '_io.BufferedReader' objects}
  2509565    0.976    0.000    0.976    0.000 {method 'startswith' of 'str' objects}
      161    0.792    0.005    0.795    0.005 {pandas._libs.lib.maybe_convert_numeric}
  2573931    0.711    0.000    0.711    0.000 {method 'get' of 'dict' objects}
  2500128    0.694    0.000    0.694    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\io\excel\_openpyxl.py:550(<genexpr>)
    25469    0.685    0.000    0.685    0.000 {built-in method zlib.crc32}
       84    0.652    0.008    0.847    0.010 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\io\parsers.py:3011(_remove_empty_lines)
       21    0.625    0.030    0.625    0.030 {pandas._libs.lib.to_object_array}
    25356    0.621    0.000    4.556    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\zipfile.py:987(_read1)
1250557/1250536    0.602    0.000    1.000    0.000 {built-in method builtins.all}
       63    0.588    0.009    0.588    0.009 {pandas._libs.parsers.sanitize_objects}
  1250085    0.490    0.000    0.582    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\io\excel\_openpyxl.py:560(<genexpr>)
  1250085    0.441    0.000    0.534    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\io\excel\_openpyxl.py:559(<genexpr>)
  1250064    0.434    0.000    0.526    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\io\parsers.py:3145(<genexpr>)
5194907/5193479    0.415    0.000    0.417    0.000 {built-in method builtins.len}
1705/1604    0.410    0.000    0.411    0.000 {built-in method numpy.array}
  2666110    0.410    0.000    0.410    0.000 {method 'append' of 'list' objects}
    40586    0.373    0.000    1.434    0.000 {built-in method builtins.max}
    25381    0.321    0.000    4.904    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\zipfile.py:907(read)
49362/47946    0.281    0.000    1.238    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\descriptors\serialisable.py:46(from_tree)
      198    0.226    0.001    0.226    0.001 {built-in method pandas._libs.missing.isnaobj}
       11    0.221    0.020    0.221    0.020 {built-in method io.open}
    15277    0.210    0.000    1.557    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\zipfile.py:747(read)
        3    0.204    0.068   11.380    3.793 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\io\formats\csvs.py:283(_save_body)
    15879    0.178    0.000    0.760    0.000 {built-in method builtins.min}
        4    0.164    0.041    1.822    0.456 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\reader\strings.py:9(read_string_table)
    96022    0.162    0.000    0.232    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\descriptors\sequence.py:23(__set__)
       21    0.155    0.007    0.155    0.007 {built-in method pandas._libs.tslib.array_to_datetime}
    15398    0.141    0.000    0.141    0.000 {method 'tell' of '_io.BufferedReader' objects}
    15216    0.138    0.000    1.125    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\zipfile.py:1023(_read2)
    25332    0.138    0.000   48.790    0.002 C:\Users\Admin\anaconda3\envs\Numan\lib\xml\etree\ElementTree.py:1263(feed)
   107409    0.120    0.000    0.196    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\descriptors\base.py:38(__set__)
      190    0.119    0.001    0.137    0.001 <frozen importlib._bootstrap_external>:914(get_data)
     4897    0.116    0.000    0.116    0.000 {built-in method winreg.OpenKey}
    47720    0.103    0.000    0.669    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\cell\text.py:161(__init__)
       63    0.094    0.001    0.094    0.001 {pandas._libs.lib.infer_datetimelike_array}
    47720    0.094    0.000    0.186    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\cell\text.py:173(content)
        4    0.092    0.023  366.503   91.626 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\io\excel\_base.py:439(parse)
      109    0.092    0.001    0.093    0.001 {pandas._libs.lib.infer_dtype}
    25356    0.089    0.000    0.774    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\zipfile.py:940(_update_crc)
   205414    0.089    0.000    0.089    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\descriptors\base.py:23(__set__)
    36/32    0.082    0.002    0.082    0.003 {built-in method numpy.core._multiarray_umath.implement_array_function}
    54883    0.077    0.000    0.201    0.000 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\openpyxl\descriptors\base.py:64(__set__)
      699    0.068    0.000    0.068    0.000 {built-in method nt.stat}
       98    0.067    0.001    5.701    0.058 C:\Users\Admin\anaconda3\envs\Numan\lib\site-packages\pandas\core\internals\managers.py:376(apply)
